Description,groupTreatment
מבקש להוסיף הרשאות כתיבה ל וזר tichnun-task בשרת tichnun-task. לשרת \\mtm-isafe כל התקיות תחת SAFE . גישה מלאה בין עמדה  tichnun-task לשרת  \\mtm-isafe,צוות אינטגרציה
מבקש גישה לאינטרנט בשרתים הבאים: DEV-MAVAT-DB DEV-VCS DEV-WEB DEV-APPS1 DEV-APPS2 DEV-BI DEV-JENKINS DEV-RZ-SQLSRV DEV-PIKUAH DEV-MAVAT-GIS DEV-HSP-DB Dev-ArcServer MTM-SQLDEV01 ,צוות אינטגרציה
"מבא""ת - העברת שרתים התורים לעבוד מול יוזר - תור 18 לא עובד כראוי לא מתחבר לSDE  וזורק שגיאות עם pnim\teldor1",צוות אינטגרציה
"נושא: RE: 352-0723635    בהוראות התכנית המקוונת לעיל מופיעים פרטי מגיש התכנית (סעיף 1.8.1), אך הם אינם מופיעים במעקב ובקרה. כיצד זה אפשרי? אם אני מבין נכון, מדובר בשדות שמיוצאים אוטומטית.   בברכה, ...",צוות הדרכה והטמעה אפליקטיבי
נושא: עדכון תכנית מישיבות  היי אלי   כבר דיברתי איתך בנושא    כאשר אני מעדכנת תכנית מישיבות  באירוע טיפול באישור תכנית כאשר אני פותחת דרישה 4920 - פניה למגיש התכנית לתיקון התכנית זה מעביר את הפתח א...,צוות הדרכה והטמעה אפליקטיבי
"בשלב 1090, באירוע 3085 בדרישות, יש להוסיף דרישה ""רישום נתוני פרסום בעיתונים בדבר אישור תיקון טעות סופר"" ודרישה ""פרסום ברשויות המקומיות"".",צוות הדרכה והטמעה אפליקטיבי
בעית בכונן I  חלק מהקבצים בכונן לא נמצאים  בוצע GPUPODATE  וכניסה ויציאה ,צוות תשתיות/סיסטם
"WIN 10  האם אפשר להגדיר לקבוצה של WIN 10 DEVELOPERS , ש System Locale (שאחראי על תצוגה תקינה של Unicode) יהיה מוגדר ל Hebrew ואם כבר מוגדר – לגרום להגדרה הזאת להיתפס כי כרגע אנחנו רואים ג'יבריש מצו...",צוות תשתיות/סיסטם
"נושא: אפשרות חיפוש בחלונית בחירת ישויות  מאוחדות לשכפול אירועים  שלום רב,   אני מקשר עררים ולפעמים אני צריך לנבור בתוך ערימה מטורפת שמופיעה לי בחלונית בחירת ישויות  מאוחדות לשכפול אירועים  אני רוצה...",צוות הדרכה והטמעה אפליקטיבי
צריך שיוסיפו לו הרשאות נוספות במג'יק לטובת הר.פ. והתובעים. לשוניות: עדכון טבלאות - מרשם פלילי וניהול מערכת גורמי חוץ - להוסיף מרשם פלילי ,צוות פיקוח על הבניה
"שלום וברכה, יש בעיה בשליחת ר.פ מהכספת לתובעים.",צוות פיקוח על הבניה
שלום אני לא יכול להעלות קבצי תמונות למערכת המג'יק מצורפות תמנות,צוות פיקוח על הבניה
נושא: FW: צרופה לתכנית 553-0674457 ממערכת מבאת ראו מייל למטה מעורך התכנית של המספר בנושא  אני רק קלטתי את התכנית לבדיקת עמידה בתנאים להפקדה – והמערכת העבירה לו אוטומאטית טפסים ישנים.  נא בדיקתכם  [...,צוות הדרכה והטמעה אפליקטיבי
"שלום רב, נושא: השמשת מולטימדיה בחדרי החקירות צריך עזרה מטכנאי בנוגע  למקרופנים ומצלמות ב2 חדר החקירות אודה לטיפול בנושא.  בברכה, ממתין לאישור הצעת מחיר",צוות טכנאים
"תמיכה שלום, בחיבור מרחוק הפעלת מרכב""ה לא תקינה. מתקבלת ההודעה הבאה אחרי ניסיונות החיבור",צוות טכנאים
בוקר טוב אשמח לעזרה דחופה במערכת מג'יק. לא מצליחה למחוק גוש וחלקה בתיק 400067049 וכל התיקים המקושרים אליו  [cid:image001.png 01D63753.1C481E70]  ,צוות פיקוח על הבניה
"נושא: שכפול תת אירוע משותף שלום רב,  כאשר אני יוצר אירוע משותף (אירוע ""גדול"") ולאחר מכן עושה לו תת אירוע השכפול של התת אירוע לא מתבצע.  הרבה שיחות שהיו לי עם אלי הוסבר לי כי השכפול של התתי אירוע מב...",צוות הדרכה והטמעה אפליקטיבי
"נושא: קריאה היי,  יש לנו תיקייה של יצירת יוזר במאור בכונן M. מאז שהעברנו את התיקייה לכונן הזה מכונן N, אני לא מצליח ליצור יוזרים במאור.  העתקתי את אותה תיקייה לכונן W, ושם אני כן מצליח.  אשמח לטיפו...",צוות תשתיות/סיסטם
